hcode,name1,name2
607,D2L40-7000,最終受注2013年3月末日
608,KD16SF60-5600, 
609,PV-WATCH-SC1-LAN-U, 
610,M3F60-5063 B1QK-090008,ﾊﾞｰｺｰﾄﾞ付ﾀﾞｲﾔ向け
611,S1ZB80-7102, 
612,DF10NC15-7072, 
613,KP20NU11-5063, 
614,D30XT80-7509 F01, 
615,M3F60-5063, 
616,D3FK120-5063, 
617,SG10TC15M-5600, 
618,MCZ5205SE-3072, 
619,D25XB60-7009 F22, 
620,S90T15V-5000, 
621,ST04-20F1-5103, 
622,KU10R25N-5063 ﾊｲｼ,09年12月末最終受注
623,D15FR60LA-5071-LVQ, 
624,D1FK70-5053, 
625,D1NS4-7070 B1QK-050034P1-Iﾊｲｼ,09年12月末最終受注
626,D1FJ4-5053, 
627,K1V8-4000,最終受注09年3月末
628,KP4N12-5063, 
629,MTA011-7101,2019年6月末最終受注
630,SF10SC6-7100 B1QK-090002 ﾊｲｼ,09年12月末最終受注
631,K1V16-4061 B1EB-01325,最終受注09年3月末
632,DF10SC9-7102, 
633,KP15N14-5063, 
634,DF40SC3L-7072, 
635,HNDS030A-L,2018年3月26日最終受注
636,S3L40U-5000, 
637,P30B10EL-5071, 
638,SG20TC15M-5600, 
639,PV-WATCH-ST2(C-U050-REVA),品名変更により171へ
640,KL3L07-5053, 
641,S5VB60-5001 L20, 
642,PV-WATCH ｴﾝﾁｮｳﾎｼｮｳ10ﾈﾝ, 
643,S3L40U-5004 P15, 
644,PV-WATCH-ST2(C-COMBI-REVA), 
